,player_name,pro_id,cbb_id,made_asg
773,Nik Stauskas,stausni01,nik-stauskas-1,0.0
774,Noah Vonleh,vonleno01,noah-vonleh-1,0.0
775,Elfrid Payton,paytoel01,elfrid-payton-1,0.0
776,Doug McDermott,mcderdo01,doug-mcdermott-1,0.0
777,Dario Šarić,saricda01,,0.0
778,Zach LaVine,lavinza01,zach-lavine-1,0.0
779,T.J. Warren,warretj01,tj-warren-1,0.0
780,Adreian Payne,paynead01,adreian-payne-1,0.0
781,Jusuf Nurkić,nurkiju01,,0.0
782,James Young,youngja01,james-young-1,0.0
783,Tyler Ennis,ennisty01,tyler-ennis-1,0.0
784,Gary Harris,harriga01,gary-harris-1,0.0
785,Bruno Caboclo,cabocbr01,,0.0
786,Mitch McGary,mcgarmi01,mitch-mcgary-1,0.0
787,Jordan Adams,adamsjo01,jordan-adams-1,0.0
788,Rodney Hood,hoodro01,rodney-hood-1,0.0
789,Shabazz Napier,napiesh01,shabazz-napier-1,0.0
790,Clint Capela,capelca01,,0.0
791,P.J. Hairston,hairspj02,pj-hairston-1,0.0
792,Bogdan Bogdanović,bogdabo01,,0.0
793,C.J. Wilcox,wilcocj01,cj-wilcox-1,0.0
794,Josh Huestis,huestjo01,josh-huestis-1,0.0
795,Kyle Anderson,anderky01,kyle-anderson-3,0.0
796,Damien Inglis,inglida01,,0.0
797,K.J. McDaniels,mcdankj01,kj-mcdaniels-1,0.0
798,Joe Harris,harrijo01,joe-harris--1,0.0
799,Cleanthony Early,earlycl01,cleanthony-early-1,0.0
800,Jarnell Stokes,stokeja01,jarnell-stokes-1,0.0
801,Johnny O'Bryant,obryajo01,johnny-obryant-1,0.0
802,DeAndre Daniels,daniede01,deandre-daniels-1,0.0
803,Spencer Dinwiddie,dinwisp01,spencer-dinwiddie-1,0.0
804,Jerami Grant,grantje01,jerami-grant-1,0.0
805,Glenn Robinson,robingl02,glenn-robinson-2,1.0
806,Nikola Jokić,jokicni01,,1.0
807,Nick Johnson,johnsni01,nick-johnson-1,0.0
808,Edy Tavares,tavarwa01,,0.0
809,Markel Brown,brownma02,markel-brown-1,0.0
810,Dwight Powell,poweldw01,dwight-powell-1,0.0
811,Jordan Clarkson,clarkjo01,jordan-clarkson-1,0.0
812,Russ Smith,smithru01,russ-smith-1,0.0
813,Lamar Patterson,pattela01,lamar-patterson-1,0.0
814,Cameron Bairstow,bairsca01,cameron-bairstow-1,0.0
815,Alec Brown,brownal01,alec-brown-1,0.0
816,Thanasis Antetokounmpo,antetth01,,0.0
817,Vasilije Micić,micicva01,,0.0
818,Alessandro Gentile,gential01,,0.0
819,Nemanja Dangubić,dangune01,,0.0
820,Semaj Christon,chrisse01,semaj-christon-1,0.0
821,Devyn Marble,marblde01,roy-devyn-marble-1,0.0
822,Louis Labeyrie,labeylo01,,0.0
823,Jordan McRae,mcraejo01,jordan-mcrae-1,0.0
824,Xavier Thames,thamexa01,xavier-thames-1,0.0
825,Cory Jefferson,jeffeco01,cory-jefferson-1,0.0
826,Karl-Anthony Towns,townska01,karl-anthony-towns-1,1.0
827,D'Angelo Russell,russeda01,dangelo-russell-1,1.0
828,Jahlil Okafor,okafoja01,jahlil-okafor-1,0.0
829,Kristaps Porziņģis,porzikr01,,1.0
830,Mario Hezonja,hezonma01,,0.0
831,Willie Cauley-Stein,caulewi01,willie-cauley-stein-1,0.0
832,Emmanuel Mudiay,mudiaem01,,0.0
833,Stanley Johnson,johnsst04,stanley-johnson-1,0.0
834,Frank Kaminsky,kaminfr01,frank-kaminsky-1,0.0
835,Justise Winslow,winslju01,justise-winslow-1,0.0
836,Myles Turner,turnemy01,myles-turner-1,0.0
837,Trey Lyles,lylestr01,trey-lyles-1,0.0
838,Devin Booker,bookede01,devin-booker-2,1.0
839,Cameron Payne,payneca01,cameron-payne-1,0.0
840,Kelly Oubre,oubreke01,kelly-oubre-1,0.0
841,Terry Rozier,roziete01,terry-rozier-1,0.0
842,Rashad Vaughn,vaughra01,rashad-vaughn-1,0.0
843,Sam Dekker,dekkesa01,sam-dekker-1,0.0
844,Jerian Grant,grantje02,jerian-grant-1,0.0
845,Delon Wright,wrighde01,delon-wright-1,0.0
846,Justin Anderson,anderju01,justin-anderson-1,0.0
847,Bobby Portis,portibo01,bobby-portis-1,0.0
848,Rondae Hollis-Jefferson,holliro01,rondae-hollis-jefferson-1,0.0
849,Tyus Jones,jonesty01,tyus-jones-1,0.0
850,Jarell Martin,martija01,jarell-martin-1,0.0
851,Nikola Milutinov,milutni01,,0.0
852,Larry Nance,nancela02,larry-nance-2,1.0
853,R.J. Hunter,hunterj01,rj-hunter-1,0.0
854,Chris McCullough,mcculch01,chris-mccullough-1,0.0
855,Kevon Looney,looneke01,kevon-looney-1,0.0
856,Cedi Osman,osmande01,,0.0
857,Montrezl Harrell,harremo01,montrezl-harrell-1,0.0
858,Jordan Mickey,mickejo01,jordan-mickey-1,0.0
859,Anthony Brown,brownan02,anthony-brown-5,0.0
860,Willy Hernangómez,hernawi01,,0.0
