player_name,pro_id,cbb_id
Tyler Honeycutt,honeyty01,tyler-honeycutt-1
Jordan Williams,willijo03,jordan-williams-1
Trey Thompkins,thomptr02,trey-thompkins-1
Chandler Parsons,parsoch01,chandler-parsons-1
Jeremy Tyler,tylerje01,
Jon Leuer,leuerjo01,jon-leuer-1
Darius Morris,morrida01,darius-morris-1
Dāvis Bertāns,bertada01,
Malcolm Lee,leema01,malcolm-lee-1
Charles Jenkins,jenkich01,charles-jenkins-1
Josh Harrellson,harrejo01,josh-harrellson-1
Andrew Goudelock,goudean01,andrew-goudelock-1
Travis Leslie,leslitr01,travis-leslie-1
Keith Benson,bensoke02,keith-benson-1
Josh Selby,selbyjo01,josh-selby-1
Lavoy Allen,allenla01,lavoy-allen-1
Jon Diebler,diebljo01,jon-diebler-1
Vernon Macklin,macklve01,vernon-macklin-1
DeAndre Liggins,liggide01,deandre-liggins-1
Milan Mačvan,macvami01,
E'Twaun Moore,mooreet01,etwaun-moore-1
Chukwudiebere Maduabum,maduach01,
Ater Majok,majokat01,ater-majok-1
Ádám Hanga,hangaad01,
Isaiah Thomas,thomais02,isaiah-thomas-1
Anthony Davis,davisan02,anthony-davis-5
Michael Kidd-Gilchrist,kiddgmi01,michael-kidd-gilchrist-1
Bradley Beal,bealbr01,bradley-beal-1
Dion Waiters,waitedi01,dion-waiters-1
Thomas Robinson,robinth01,thomas-robinson-2
Damian Lillard,lillada01,damian-lillard-1
Harrison Barnes,barneha02,harrison-barnes-1
Terrence Ross,rosste01,terrence-ross-1
Andre Drummond,drumman01,andre-drummond-1
Austin Rivers,riverau01,austin-rivers-1
Meyers Leonard,leoname01,meyers-leonard-1
Jeremy Lamb,lambje01,jeremy-lamb-1
Kendall Marshall,marshke01,kendall-marshall-1
John Henson,hensojo01,john-henson-1
Maurice Harkless,harklma01,maurice-harkless-1
Royce White,whitero03,royce-white-1
Tyler Zeller,zellety01,tyler-zeller-1
Terrence Jones,joneste01,terrence-jones-1
