,year,player_id,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
72,2000,carran01,7.5,0.477,0.0,0.219,4.3,13.1,8.7,5.3,0.7,1.9,11.4,16.3,0.0,0.1,0.1,0.019,-4.4,-0.8,-5.1,-0.2
73,2000,carrch01,11.1,0.471,0.242,0.576,6.7,12.1,9.2,6.6,0.0,1.0,10.8,26.4,0.0,0.0,0.0,0.029,-2.3,-2.7,-5.0,-0.1
74,2000,carrch01,10.8,0.483,0.201,0.229,3.8,13.5,8.6,15.5,1.5,0.9,18.0,26.0,-1.2,0.9,-0.3,-0.015,-2.2,-1.5,-3.7,-0.5
75,2000,cartean01,11.0,0.442,0.045,0.244,3.1,9.0,6.2,31.7,2.7,0.2,23.5,18.5,-1.0,2.4,1.4,0.036,-3.0,0.2,-2.7,-0.4
76,2000,cartevi01,23.4,0.543,0.139,0.325,5.2,12.1,8.5,20.5,1.8,2.1,8.4,30.0,9.1,2.7,11.8,0.182,5.6,-0.1,5.5,5.9
77,2000,cassesa01,21.1,0.551,0.077,0.38,2.8,9.3,6.1,41.1,1.8,0.2,16.4,25.0,8.4,0.8,9.2,0.152,3.6,-1.4,2.2,3.1
78,2000,catoke01,15.9,0.574,0.01,0.517,7.4,19.9,13.8,2.7,1.1,5.1,12.6,15.7,2.3,2.0,4.2,0.128,-1.1,1.0,-0.1,0.7
79,2000,causwdu01,14.1,0.614,0.0,1.027,7.2,21.5,14.7,1.7,0.6,6.3,15.7,16.1,0.3,0.4,0.7,0.171,-3.7,2.0,-1.7,0.0
80,2000,cebalce01,18.1,0.516,0.134,0.248,9.0,15.0,12.0,7.4,1.4,0.8,10.1,26.4,2.7,1.3,4.0,0.094,1.2,-2.2,-1.0,0.5
81,2000,celesjo01,2.7,0.388,0.2,0.133,0.6,5.7,3.2,15.2,1.9,0.0,25.1,15.1,-0.4,0.2,-0.1,-0.038,-7.7,0.1,-7.6,-0.3
82,2000,chapmre01,9.4,0.491,0.384,0.244,1.2,8.0,4.7,9.9,1.2,0.1,9.7,18.1,0.4,1.0,1.4,0.072,-2.0,-0.2,-2.2,-0.1
83,2000,cheanca01,6.7,0.473,0.198,0.077,1.9,10.6,6.0,9.0,1.7,0.8,14.0,10.9,0.0,0.8,0.8,0.029,-3.8,0.1,-3.7,-0.6
84,2000,chilcpe01,5.7,0.374,0.161,0.032,8.3,14.9,11.7,6.9,1.2,1.4,12.5,14.8,-0.2,0.2,0.0,0.005,-4.5,-0.4,-4.9,-0.2
85,2000,chilcpe01,4.4,0.0,0.0,0.0,14.7,18.8,16.8,4.4,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.037,-3.5,-1.4,-4.9,0.0
86,2000,chilcpe01,11.3,0.556,0.254,0.095,8.4,17.3,12.7,7.2,1.5,1.2,14.4,9.8,0.4,0.1,0.5,0.074,-1.5,-1.0,-2.4,0.0
